crpc_section,crpc_title,bnss_section,bnss_title,change_category,procedural_effect,statutory_source_url
154,Information in cognizable cases (FIR),173,"Information in cognizable cases (Zero FIR & e-FIR)",Procedural Enhancement,"Allows Zero FIR registration at any police station irrespective of jurisdiction; allows e-FIR via electronic communication signed within 3 days.",https://www.indiacode.nic.in/handle/123456789/20063
41,When police may arrest without warrant,35,Arrests without warrant,Safeguard Requirement,"Mandates prior permission from Deputy Superintendent of Police (DSP) before arresting elderly (60+) or infirm for offences punishable < 3 years.",https://www.indiacode.nic.in/handle/123456789/20063
167,Procedure when investigation cannot be completed in 24 hours (Remand),187,Custody and Remand,Remand Flexibility,"15-day police custody can be authorized in whole or in discrete parts across the first 40 days (of 60-day limit) or 60 days (of 90-day limit).",https://www.indiacode.nic.in/handle/123456789/20063
61,Form of summons,64,"Form and service of summons (Electronic Summons)",Digital Modernization,"Permits service of summons via electronic communication (SMS, Email, WhatsApp) bearing digital signature of issuing court.",https://www.indiacode.nic.in/handle/123456789/20063
100,Persons in charge of closed place to allow search,105,Search and seizure videography,Mandatory Technology,"Mandatory audio-video recording of search and seizure of property and preparation of seizure list in presence of 2 independent witnesses.",https://www.indiacode.nic.in/handle/123456789/20063
436A,Maximum period for which an undertrial prisoner can be detained,479,Bail for Undertrial Prisoner,De-congestion Relief,"First-time offenders (never convicted before) eligible for release on bail after serving 1/3rd of maximum imprisonment period.",https://www.indiacode.nic.in/handle/123456789/20063
173(2),Report of police officer on completion of investigation (Charge sheet),193(3),Submission of Police Report,Strict Timeline,"Police report/charge sheet must be submitted within 90 days; court may grant 90-day extension. Framing of charges mandatory within 60 days.",https://www.indiacode.nic.in/handle/123456789/20063
353,Judgment,354,"Pronouncement of Judgment",Mandatory Timeline,"Judgment must be pronounced within 30 days of trial conclusion (extendable to 45 days max); copy uploaded online within 7 days.",https://www.indiacode.nic.in/handle/123456789/20063
53A,Medical examination of person accused of rape,53,"Medical examination of accused",Victim Safeguard,"Medical examination report of rape victim must be forwarded to investigating officer within 7 days.",https://www.indiacode.nic.in/handle/123456789/20063
102,Power of police officer to seize certain property,107,Attachment and forfeiture of property,Proceeds of Crime,"Empowers police officer to attach and forfeit property derived from proceeds of crime with Magistrate approval.",https://www.indiacode.nic.in/handle/123456789/20063
41A,Notice of appearance before police officer,35(3),Notice of Appearance,Arrest Alternative,"Mandatory written notice of appearance for offences punishable with 7 years or less prior to making arrest.",https://www.indiacode.nic.in/handle/123456789/20063
260,Power to try summarily,283,Summary Trials,Expanded Scope,"Mandatory summary trial for petty offences punishable with imprisonment up to 3 years (previously up to 2 years).",https://www.indiacode.nic.in/handle/123456789/20063
